25 2323
17 47 84
17 9 39
17 0 76
17 11 32
17 63 59
17 77 49
17 43 2
17 71 82
17 10 38
17 48 44
17 15 71
17 49 90
17 7 16
17 65 83
17 65 40
17 3 9
17 64 15
17 70 73
17 3 72
17 49 28
3 83 70
3 72 2
3 49 43
3 38 2
3 86 34
3 38 72
3 88 5
3 38 4
3 27 66
3 72 80
3 33 7
3 25 11
3 79 76
3 67 89
3 77 0
3 59 69
3 17 45
3 85 66
3 57 42
3 69 67
8 31 59
8 89 70
8 92 95
8 75 27
8 18 75
8 32 10
8 77 66
8 44 59
8 18 55
8 19 83
8 35 87
8 27 25
8 39 80
8 63 5
8 40 14
8 39 60
8 61 64
8 71 41
8 59 90
8 7 49
5 34 39
5 54 2
5 28 40
5 66 60
5 36 74
5 70 75
5 10 54
5 27 74
5 39 71
5 86 80
5 50 25
5 62 17
5 50 21
5 14 6
5 32 1
5 82 45
5 60 45
5 30 51
5 33 65
5 11 46
16 24 9
16 33 86
16 52 38
16 10 53
16 35 49
16 17 58
16 26 6
16 13 2
16 37 5
16 16 24
16 91 17
16 41 36
16 86 46
16 43 20
16 12 73
16 25 57
16 10 68
16 69 59
16 74 26
16 80 30
14 10 12
14 9 61
14 30 15
14 55 13
14 20 19
14 68 41
14 24 49
14 29 4
14 81 53
14 30 30
14 14 81
14 83 69
14 100 1
14 94 35
14 14 11
14 21 30
14 95 49
14 18 19
14 74 97
14 75 86
23 58 9
23 32 1
23 39 21
23 64 20
23 25 39
23 2 52
23 62 38
23 41 27
23 67 6
23 29 65
23 51 19
23 24 33
23 22 4
23 26 27
23 16 12
23 47 65
23 56 61
23 3 25
23 40 62
23 9 55
24 13 56
24 39 36
24 55 41
24 9 9
24 30 21
24 88 68
24 28 2
24 41 35
24 44 32
24 37 89
24 29 47
24 72 4
24 10 82
24 2 70
24 81 78
24 78 13
24 46 83
24 80 89
24 15 4
24 87 61
13 91 73
13 86 33
13 59 68
13 5 85
13 13 28
13 16 89
13 52 78
13 12 22
13 35 53
13 27 2
13 39 8
13 12 84
13 62 91
13 15 83
13 36 62
13 66 19
13 94 11
13 2 23
13 5 11
13 42 33
11 75 38
11 1 9
11 61 63
11 18 67
11 51 11
11 88 48
11 52 38
11 10 73
11 68 72
11 19 85
11 5 0
11 44 83
11 69 86
11 68 73
11 3 68
11 32 48
11 65 80
11 66 20
11 42 10
11 89 6
19 7 71
19 44 1
19 32 23
19 79 15
19 55 49
19 37 43
19 70 19
19 27 46
19 70 57
19 36 21
19 42 74
19 72 59
19 65 79
19 22 67
19 43 50
19 50 0
19 37 59
19 8 5
19 5 30
19 12 2
1 31 83
1 58 59
1 44 83
1 88 9
1 24 80
1 78 20
1 65 37
1 14 37
1 36 78
1 86 61
1 18 16
1 41 63
1 16 48
1 32 19
1 66 44
1 6 81
1 19 39
1 28 4
1 12 0
1 64 15
2 69 6
2 6 23
2 84 9
2 91 10
2 58 30
2 36 90
2 74 87
2 51 15
2 67 50
2 43 77
2 62 10
2 70 36
2 33 94
2 23 56
2 3 76
2 2 77
2 56 71
2 11 68
2 89 18
2 2 20
15 5 80
15 45 41
15 70 72
15 32 18
15 56 12
15 47 89
15 27 26
15 57 38
15 63 45
15 33 77
15 7 59
15 47 74
15 22 77
15 86 62
15 2 37
15 67 34
15 14 46
15 76 87
15 89 51
15 11 17
0 40 63
0 55 3
0 67 85
0 87 53
0 84 2
0 15 11
0 30 34
0 82 60
0 66 11
0 29 38
0 78 6
0 2 0
0 51 1
0 83 56
0 65 34
0 41 71
0 60 49
0 2 48
0 81 7
0 67 19
21 93 88
21 72 73
21 69 74
21 53 42
21 59 1
21 53 45
21 39 48
21 20 45
21 46 61
21 67 26
21 43 12
21 16 77
21 41 82
21 68 41
21 13 80
21 33 69
21 74 74
21 84 55
21 33 36
21 8 15
12 89 54
12 81 59
12 15 45
12 22 88
12 45 25
12 25 45
12 72 29
12 69 46
12 36 73
12 64 91
12 15 35
12 5 28
12 90 71
12 67 18
12 92 49
12 28 43
12 12 9
12 54 57
12 91 66
12 91 63
18 35 77
18 30 53
18 16 45
18 59 24
18 22 67
18 33 61
18 1 70
18 12 72
18 0 65
18 55 48
18 37 4
18 62 22
18 71 65
18 66 63
18 43 48
18 22 44
18 7 35
18 42 8
18 42 21
18 43 21
6 37 75
6 2 86
6 87 56
6 54 0
6 45 90
6 41 38
6 40 8
6 3 70
6 90 10
6 87 35
6 11 18
6 9 78
6 7 26
6 65 58
6 69 29
6 44 8
6 46 61
6 70 0
6 42 50
6 61 19
7 86 19
7 13 72
7 61 25
7 64 44
7 36 85
7 54 22
7 30 21
7 30 21
7 60 10
7 29 40
7 10 93
7 11 1
7 6 74
7 85 36
7 61 40
7 46 8
7 88 88
7 0 76
7 27 62
7 13 72
20 56 26
20 33 74
20 71 34
20 33 43
20 17 33
20 33 38
20 14 69
20 6 41
20 78 58
20 35 26
20 43 54
20 58 75
20 62 77
20 78 56
20 28 31
20 46 19
20 60 24
20 15 44
20 67 71
